age;sex;studytime;failures;absences;G1;G2;G3;predicted_pass;risk_score;risk_level;pass_actual
18;F;2;0;6;5;6;6;0;0.807;Rouge;0
17;F;2;0;4;5;5;6;0;0.926;Rouge;0
15;F;2;3;10;7;8;10;1;0.255;Vert;1
15;F;3;0;2;15;14;15;1;0.016;Vert;1
16;F;2;0;4;6;10;10;1;0.064;Vert;1
16;M;2;0;10;15;15;15;1;0.01;Vert;1
16;M;2;0;0;12;12;11;1;0.02;Vert;1
17;F;2;0;6;6;5;6;0;0.88;Rouge;0
15;M;2;0;0;16;18;19;1;0.01;Vert;1
15;M;2;0;0;14;15;15;1;0.0;Vert;1
15;F;2;0;0;10;8;9;0;0.899;Rouge;0
15;F;3;0;4;10;12;12;1;0.05;Vert;1
15;M;1;0;2;14;14;14;1;0.01;Vert;1
15;M;2;0;2;10;10;11;1;0.061;Vert;1
15;M;3;0;0;14;16;16;1;0.02;Vert;1
16;F;1;0;4;14;14;14;1;0.0;Vert;1
16;F;3;0;6;13;14;14;1;0.0;Vert;1
16;F;2;0;4;8;10;10;1;0.089;Vert;1
17;M;1;3;16;6;5;5;0;0.91;Rouge;0
16;M;1;0;4;8;10;10;1;0.03;Vert;1
15;M;2;0;0;13;14;15;1;0.0;Vert;1
15;M;1;0;0;12;15;15;1;0.01;Vert;1
16;M;2;0;2;15;15;16;1;0.0;Vert;1
16;M;2;0;0;13;13;12;1;0.0;Vert;1
15;F;3;0;2;10;9;8;0;0.788;Rouge;0
16;F;1;2;14;6;9;8;0;0.732;Rouge;0
15;M;1;0;2;12;12;11;1;0.0;Vert;1
15;M;1;0;4;15;16;15;1;0.01;Vert;1
16;M;2;0;4;11;11;11;1;0.05;Vert;1
16;M;2;0;16;10;12;11;1;0.046;Vert;1
15;M;2;0;0;9;11;12;1;0.18;Vert;1
15;M;2;0;0;17;16;17;1;0.02;Vert;1
15;M;2;0;0;17;16;16;1;0.01;Vert;1
15;M;2;0;0;8;10;12;1;0.329;Vert;1
16;M;1;0;0;12;14;15;1;0.0;Vert;1
15;F;1;0;0;8;7;6;0;0.901;Rouge;0
15;M;3;0;2;15;16;18;1;0.0;Vert;1
16;M;3;0;7;15;16;15;1;0.02;Vert;1
15;F;3;0;2;12;12;11;1;0.06;Vert;1
15;F;1;0;8;14;13;13;1;0.03;Vert;1
16;F;2;1;25;7;10;11;1;0.159;Vert;1
15;M;1;0;8;12;12;12;1;0.0;Vert;1
15;M;2;0;2;19;18;18;1;0.01;Vert;1
15;M;1;0;0;8;8;11;1;0.278;Vert;1
16;F;2;1;14;10;10;9;0;0.74;Rouge;0
15;F;2;0;8;8;8;6;0;0.683;Orange;0
16;F;2;0;12;11;12;11;1;0.08;Vert;1
16;M;4;0;4;19;19;20;1;0.0;Vert;1
15;M;2;0;2;15;15;14;1;0.01;Vert;1
15;F;2;1;2;7;7;7;0;0.979;Rouge;0
16;F;2;0;2;12;13;13;1;0.02;Vert;1
15;F;2;0;2;11;13;13;1;0.02;Vert;1
15;M;1;1;6;11;11;10;1;0.03;Vert;1
15;F;1;0;0;8;10;11;1;0.172;Vert;1
15;F;1;0;6;10;13;13;1;0.03;Vert;1
16;F;2;0;8;8;9;10;1;0.438;Orange;1
15;F;2;0;0;14;15;15;1;0.03;Vert;1
15;M;2;0;4;14;15;15;1;0.04;Vert;1
15;M;2;0;2;9;10;9;0;0.702;Rouge;0
16;F;2;0;2;15;16;16;1;0.0;Vert;1
16;F;2;0;6;10;11;11;1;0.117;Vert;1
16;F;1;0;6;10;8;11;1;0.19;Vert;1
16;F;2;0;4;8;10;9;0;0.766;Rouge;0
16;F;3;0;2;10;9;9;0;0.892;Rouge;0
15;F;2;0;0;10;10;10;1;0.146;Vert;1
16;F;2;0;2;16;15;15;1;0.02;Vert;1
15;M;4;0;4;13;13;12;1;0.04;Vert;1
16;F;4;0;4;7;7;6;0;0.976;Rouge;0
15;F;2;0;2;8;9;8;0;0.786;Rouge;0
15;F;4;0;12;16;16;16;1;0.022;Vert;1
16;M;4;0;0;13;15;15;1;0.0;Vert;1
15;M;4;0;0;10;10;10;1;0.129;Vert;1
15;F;2;2;2;8;6;5;0;0.82;Rouge;0
16;M;1;0;2;12;12;14;1;0.03;Vert;1
16;F;2;0;54;11;12;11;1;0.07;Vert;1
15;M;2;0;6;9;9;10;1;0.292;Vert;1
15;M;4;0;8;11;11;10;1;0.08;Vert;1
16;F;4;0;0;11;11;11;1;0.037;Vert;1
17;M;1;3;2;8;8;10;0;0.81;Rouge;1
16;F;2;0;12;5;5;5;0;0.969;Rouge;0
15;M;1;0;2;10;12;12;1;0.051;Vert;1
15;M;3;0;4;11;10;11;1;0.03;Vert;1
15;F;2;0;10;7;6;6;0;0.853;Rouge;0
15;M;2;0;4;15;15;15;1;0.0;Vert;1
15;F;2;0;2;9;10;10;1;0.23;Vert;1
15;F;2;2;6;7;9;8;0;0.863;Rouge;0
16;F;2;0;4;8;7;6;0;0.898;Rouge;0
15;F;3;0;4;13;14;14;1;0.01;Vert;1
16;M;2;1;12;11;10;10;1;0.041;Vert;1
16;M;2;0;18;8;6;7;0;0.93;Rouge;0
16;F;3;0;0;7;7;8;0;0.968;Rouge;0
15;F;1;0;4;16;17;18;1;0.025;Vert;1
16;F;2;0;4;7;6;6;0;0.94;Rouge;0
16;F;2;0;0;11;10;10;1;0.11;Vert;1
15;M;4;0;6;11;13;14;1;0.07;Vert;1
15;F;4;1;2;7;10;10;1;0.16;Vert;1
16;M;1;0;2;11;15;15;1;0.01;Vert;1
16;F;2;0;2;8;9;10;1;0.157;Vert;1
16;F;1;0;6;11;14;14;1;0.0;Vert;1
16;F;3;0;0;7;9;8;0;0.904;Rouge;0
16;M;1;0;14;7;7;5;0;0.942;Rouge;0
16;M;3;0;0;16;17;17;1;0.01;Vert;1
15;M;1;0;4;10;13;14;1;0.07;Vert;1
15;F;2;0;26;7;6;6;0;0.959;Rouge;0
15;M;2;0;0;16;18;18;1;0.01;Vert;1
15;F;4;0;10;10;11;11;1;0.062;Vert;1
15;F;4;0;8;7;8;8;0;0.819;Rouge;0
16;M;3;0;2;16;18;18;1;0.0;Vert;1
15;M;4;0;6;10;13;13;1;0.155;Vert;1
16;F;3;0;4;14;15;16;1;0.057;Vert;1
15;M;1;0;6;18;19;19;1;0.01;Vert;1
16;F;3;1;0;7;10;10;1;0.11;Vert;1
16;F;2;1;6;10;13;13;1;0.163;Vert;1
15;M;1;0;10;18;19;19;1;0.0;Vert;1
15;M;2;0;8;9;9;9;1;0.374;Vert;0
16;M;2;0;2;15;15;16;1;0.01;Vert;1
15;M;2;0;2;11;13;14;1;0.05;Vert;1
16;M;1;0;0;13;14;13;1;0.0;Vert;1
17;M;2;1;20;9;7;8;0;0.93;Rouge;0
15;M;1;0;6;14;13;13;1;0.0;Vert;1
15;F;2;0;2;16;15;15;1;0.01;Vert;1
15;M;4;0;6;16;14;15;1;0.01;Vert;1
